Date,Revenue
2018-06-30,4002000000.0
2018-09-30,6824000000.0
2018-12-31,7226000000.0
2019-03-31,4541000000.0
2019-06-30,6350000000.0
2019-09-30,6303000000.0
2019-12-31,7384000000.0
2020-03-31,5985000000.0
2020-06-30,6036000000.0
2020-09-30,8771000000.0
2020-12-31,10740000000.0
2021-03-31,10390000000.0
2021-06-30,11960000000.0
2021-09-30,13760000000.0
2021-12-31,17720000000.0
2022-03-31,18760000000.0
2022-06-30,16930000000.0
2022-09-30,21450000000.0
2022-12-31,24320000000.0
2023-03-31,23330000000.0
2023-06-30,24930000000.0
2023-09-30,23350000000.0
2023-12-31,25170000000.0
2024-03-31,21300000000.0
2024-06-30,25500000000.0
